iban,currencyCode,bicCode,bundleCode,customerId,processingDate
NL56INGB0123456789,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456790,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456791,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456792,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456793,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456794,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456795,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456796,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456797,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456798,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456799,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456800,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456801,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456802,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456803,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456804,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456805,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456806,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456807,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456808,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456809,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456810,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456811,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456812,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456813,EUR,RABONL2U,B1,1234,01/01/2017
NL56INGB0123456814,EUR,RABONL2U,B2,1235,02/01/2017
NL56INGB0123456815,EUR,RABONL2U,B3,1236,03/01/2017
NL56INGB0123456816,EUR,RABONL2U,B4,1237,04/01/2017
NL56INGB0123456817,EUR,RABONL2U,B5,1238,05/01/2017
NL56INGB0123456818,EUR,RABONL2U,B6,1239,06/01/2017
NL56INGB0123456819,EUR,RABONL2U,B7,1240,07/01/2017
NL56INGB0123456820,EUR,RABONL2U,B8,1241,08/01/2017
NL56INGB0123456821,EUR,RABONL2U,B9,1242,09/01/2017
NL56INGB0123456822,EUR,RABONL2U,B10,1243,10/01/2017
NL56INGB0123456823,EUR,RABONL2U,B11,1244,11/01/2017
NL56INGB0123456824,EUR,RABONL2U,B12,1245,12/01/2017
NL56INGB0123456825,EUR,RABONL2U,B13,1246,13/01/2017
NL56INGB0123456826,EUR,RABONL2U,B14,1247,14/01/2017
NL56INGB0123456827,EUR,RABONL2U,B15,1248,15/01/2017
NL56INGB0123456828,EUR,RABONL2U,B16,1249,16/01/2017
NL56INGB0123456829,EUR,RABONL2U,B17,1250,17/01/2017
NL56INGB0123456830,EUR,RABONL2U,B18,1251,18/01/2017
NL56INGB0123456831,EUR,RABONL2U,B19,1252,19/01/2017
NL56INGB0123456832,EUR,RABONL2U,B20,1253,20/01/2017
NL56INGB0123456833,EUR,RABONL2U,B21,1254,21/01/2017
NL56INGB0123456834,EUR,RABONL2U,B22,1255,22/01/2017
NL56INGB0123456835,EUR,RABONL2U,B23,1256,23/01/2017
NL56INGB0123456836,EUR,RABONL2U,B24,1257,24/01/2017
NL56INGB0123456837,EUR,RABONL2U,B25,1258,25/01/2017
NL56INGB0123456838,EUR,RABONL2U,B26,1259,26/01/2017
NL56INGB0123456839,EUR,RABONL2U,B27,1260,27/01/2017
NL56INGB0123456840,EUR,RABONL2U,B28,1261,28/01/2017
NL56INGB0123456841,EUR,RABONL2U,B29,1262,29/01/2017
NL56INGB0123456842,EUR,RABONL2U,B30,1263,30/01/2017
NL56INGB0123456843,EUR,RABONL2U,B31,1264,31/01/2017
NL56INGB0123456844,EUR,RABONL2U,B32,1265,01/02/2017
NL56INGB0123456845,EUR,RABONL2U,B33,1266,02/02/2017
NL56INGB0123456846,EUR,RABONL2U,B34,1267,03/02/2017
NL56INGB0123456847,EUR,RABONL2U,B35,1268,04/02/2017
NL56INGB0123456848,EUR,RABONL2U,B36,1269,05/02/2017
NL56INGB0123456849,EUR,RABONL2U,B37,1270,06/02/2017
NL56INGB0123456850,EUR,RABONL2U,B38,1271,07/02/2017
NL56INGB0123456851,EUR,RABONL2U,B39,1272,08/02/2017
NL56INGB0123456852,EUR,RABONL2U,B40,1273,09/02/2017
NL56INGB0123456853,EUR,RABONL2U,B41,1274,10/02/2017
NL56INGB0123456854,EUR,RABONL2U,B42,1275,11/02/2017
NL56INGB0123456855,EUR,RABONL2U,B43,1276,12/02/2017
NL56INGB0123456856,EUR,RABONL2U,B44,1277,13/02/2017
NL56INGB0123456857,EUR,RABONL2U,B45,1278,14/02/2017
NL56INGB0123456858,EUR,RABONL2U,B46,1279,15/02/2017
NL56INGB0123456859,EUR,RABONL2U,B47,1280,16/02/2017
NL56INGB0123456860,EUR,RABONL2U,B48,1281,17/02/2017
NL56INGB0123456861,EUR,RABONL2U,B49,1282,18/02/2017
NL56INGB0123456862,EUR,RABONL2U,B50,1283,19/02/2017
NL56INGB0123456863,EUR,RABONL2U,B51,1284,20/02/2017
NL56INGB0123456864,EUR,RABONL2U,B52,1285,21/02/2017
NL56INGB0123456865,EUR,RABONL2U,B53,1286,22/02/2017
NL56INGB0123456866,EUR,RABONL2U,B54,1287,23/02/2017
NL56INGB0123456867,EUR,RABONL2U,B55,1288,24/02/2017
NL56INGB0123456868,EUR,RABONL2U,B56,1289,25/02/2017
NL56INGB0123456869,EUR,RABONL2U,B57,1290,26/02/2017
NL56INGB0123456870,EUR,RABONL2U,B58,1291,27/02/2017
NL56INGB0123456871,EUR,RABONL2U,B59,1292,28/02/2017
NL56INGB0123456872,EUR,RABONL2U,B60,1293,01/03/2017
NL56INGB0123456873,EUR,RABONL2U,B61,1294,02/03/2017
NL56INGB0123456874,EUR,RABONL2U,B62,1295,03/03/2017
NL56INGB0123456875,EUR,RABONL2U,B63,1296,04/03/2017
NL56INGB0123456876,EUR,RABONL2U,B64,1297,05/03/2017
NL56INGB0123456877,EUR,RABONL2U,B65,1298,06/03/2017
NL56INGB0123456878,EUR,RABONL2U,B66,1299,07/03/2017
NL56INGB0123456879,EUR,RABONL2U,B67,1300,08/03/2017
NL56INGB0123456880,EUR,RABONL2U,B68,1301,09/03/2017
NL56INGB0123456881,EUR,RABONL2U,B69,1302,10/03/2017
NL56INGB0123456882,EUR,RABONL2U,B70,1303,11/03/2017
NL56INGB0123456883,EUR,RABONL2U,B71,1304,12/03/2017
NL56INGB0123456884,EUR,RABONL2U,B72,1305,13/03/2017
NL56INGB0123456885,EUR,RABONL2U,B73,1306,14/03/2017
NL56INGB0123456886,EUR,RABONL2U,B74,1307,15/03/2017
NL56INGB0123456887,EUR,RABONL2U,B75,1308,16/03/2017
NL56INGB0123456888,EUR,RABONL2U,B76,1309,17/03/2017
NL56INGB0123456889,EUR,RABONL2U,B77,1310,18/03/2017
NL56INGB0123456890,EUR,RABONL2U,B78,1311,19/03/2017
NL56INGB0123456891,EUR,RABONL2U,B79,1312,20/03/2017
NL56INGB0123456892,EUR,RABONL2U,B80,1313,21/03/2017
NL56INGB0123456893,EUR,RABONL2U,B81,1314,22/03/2017
NL56INGB0123456894,EUR,RABONL2U,B82,1315,23/03/2017
NL56INGB0123456895,EUR,RABONL2U,B83,1316,24/03/2017
NL56INGB0123456896,EUR,RABONL2U,B84,1317,25/03/2017
NL56INGB0123456897,EUR,RABONL2U,B85,1318,26/03/2017
NL56INGB0123456898,EUR,RABONL2U,B86,1319,27/03/2017
NL56INGB0123456899,EUR,RABONL2U,B87,1320,28/03/2017
NL56INGB0123456900,EUR,RABONL2U,B88,1321,29/03/2017
NL56INGB0123456901,EUR,RABONL2U,B89,1322,30/03/2017
NL56INGB0123456902,EUR,RABONL2U,B90,1323,31/03/2017
NL56INGB0123456903,EUR,RABONL2U,B91,1324,01/04/2017
NL56INGB0123456904,EUR,RABONL2U,B92,1325,02/04/2017
NL56INGB0123456905,EUR,RABONL2U,B93,1326,03/04/2017
NL56INGB0123456906,EUR,RABONL2U,B94,1327,04/04/2017
NL56INGB0123456907,EUR,RABONL2U,B95,1328,05/04/2017
NL56INGB0123456908,EUR,RABONL2U,B96,1329,06/04/2017
NL56INGB0123456909,EUR,RABONL2U,B97,1330,07/04/2017
NL56INGB0123456910,EUR,RABONL2U,B98,1331,08/04/2017
NL56INGB0123456911,EUR,RABONL2U,B99,1332,09/04/2017
NL56INGB0123456912,EUR,RABONL2U,B100,1333,10/04/2017
NL56INGB0123456913,EUR,RABONL2U,B101,1334,11/04/2017
NL56INGB0123456914,EUR,RABONL2U,B102,1335,12/04/2017
NL56INGB0123456915,EUR,RABONL2U,B103,1336,13/04/2017
NL56INGB0123456916,EUR,RABONL2U,B104,1337,14/04/2017
NL56INGB0123456917,EUR,RABONL2U,B105,1338,15/04/2017
NL56INGB0123456918,EUR,RABONL2U,B106,1339,16/04/2017
NL56INGB0123456919,EUR,RABONL2U,B107,1340,17/04/2017
NL56INGB0123456920,EUR,RABONL2U,B108,1341,18/04/2017
NL56INGB0123456921,EUR,RABONL2U,B109,1342,19/04/2017
NL56INGB0123456922,EUR,RABONL2U,B110,1343,20/04/2017
NL56INGB0123456923,EUR,RABONL2U,B111,1344,21/04/2017
NL56INGB0123456924,EUR,RABONL2U,B112,1345,22/04/2017
NL56INGB0123456925,EUR,RABONL2U,B113,1346,23/04/2017
NL56INGB0123456926,EUR,RABONL2U,B114,1347,24/04/2017
NL56INGB0123456927,EUR,RABONL2U,B115,1348,25/04/2017
NL56INGB0123456928,EUR,RABONL2U,B116,1349,26/04/2017
NL56INGB0123456929,EUR,RABONL2U,B117,1350,27/04/2017
NL56INGB0123456930,EUR,RABONL2U,B118,1351,28/04/2017
NL56INGB0123456931,EUR,RABONL2U,B119,1352,29/04/2017
NL56INGB0123456932,EUR,RABONL2U,B120,1353,30/04/2017
NL56INGB0123456933,EUR,RABONL2U,B121,1354,01/05/2017
NL56INGB0123456934,EUR,RABONL2U,B122,1355,02/05/2017
NL56INGB0123456935,EUR,RABONL2U,B123,1356,03/05/2017
NL56INGB0123456936,EUR,RABONL2U,B124,1357,04/05/2017
NL56INGB0123456937,EUR,RABONL2U,B125,1358,05/05/2017
NL56INGB0123456938,EUR,RABONL2U,B126,1359,06/05/2017
NL56INGB0123456939,EUR,RABONL2U,B127,1360,07/05/2017
NL56INGB0123456940,EUR,RABONL2U,B128,1361,08/05/2017
NL56INGB0123456941,EUR,RABONL2U,B129,1362,09/05/2017
NL56INGB0123456942,EUR,RABONL2U,B130,1363,10/05/2017
NL56INGB0123456943,EUR,RABONL2U,B131,1364,11/05/2017
NL56INGB0123456944,EUR,RABONL2U,B132,1365,12/05/2017
NL56INGB0123456945,EUR,RABONL2U,B133,1366,13/05/2017
NL56INGB0123456946,EUR,RABONL2U,B134,1367,14/05/2017
NL56INGB0123456947,EUR,RABONL2U,B135,1368,15/05/2017
NL56INGB0123456948,EUR,RABONL2U,B136,1369,16/05/2017
NL56INGB0123456949,EUR,RABONL2U,B137,1370,17/05/2017
NL56INGB0123456950,EUR,RABONL2U,B138,1371,18/05/2017
NL56INGB0123456951,EUR,RABONL2U,B139,1372,19/05/2017
NL56INGB0123456952,EUR,RABONL2U,B140,1373,20/05/2017
NL56INGB0123456953,EUR,RABONL2U,B141,1374,21/05/2017
NL56INGB0123456954,EUR,RABONL2U,B142,1375,22/05/2017
NL56INGB0123456955,EUR,RABONL2U,B143,1376,23/05/2017
NL56INGB0123456956,EUR,RABONL2U,B144,1377,24/05/2017
NL56INGB0123456957,EUR,RABONL2U,B145,1378,25/05/2017
NL56INGB0123456958,EUR,RABONL2U,B146,1379,26/05/2017
NL56INGB0123456959,EUR,RABONL2U,B147,1380,27/05/2017
NL56INGB0123456960,EUR,RABONL2U,B148,1381,28/05/2017
NL56INGB0123456961,EUR,RABONL2U,B149,1382,29/05/2017
NL56INGB0123456962,EUR,RABONL2U,B150,1383,30/05/2017
NL56INGB0123456963,EUR,RABONL2U,B151,1384,31/05/2017
